,Title,Published_date,Views,Likes,Dislikes,Comments,post_type,Month,date,day_name
0,Encouraging more women into the STEM related careers with Taruna Naidoo | PwC,2022-04-01T09:33:23Z,697,8,8,0,youtube#video,Apr,2022-04-01 09:33:23+00:00,Friday
1,Encouraging more women into the STEM related careers with Liesbeth Botha | PwC,2022-04-01T09:32:45Z,150,2,2,0,youtube#video,Apr,2022-04-01 09:32:45+00:00,Friday
2,Reintroducing the React Nanodegree Program from Udacity,2022-04-01T07:32:59Z,1361,35,35,0,youtube#video,Apr,2022-04-01 07:32:59+00:00,Friday
3,Playbook For Implementing A Successful Talent Transformation Strategy,2022-02-24T10:22:12Z,1708,24,24,0,youtube#video,Feb,2022-02-24 10:22:12+00:00,Thursday
4,Total Economic Impact™ of Udacity for the Oil & Gas Industry,2022-01-27T16:14:58Z,1840,21,21,0,youtube#video,Jan,2022-01-27 16:14:58+00:00,Thursday
5,Women Who Future | Student Spotlight,2021-12-23T22:51:10Z,1273,19,19,0,youtube#video,Dec,2021-12-23 22:51:10+00:00,Thursday
6,How governments can drive change to close the STEM gap | Intl. Women in STEM Virtual Conference,2021-12-22T20:09:01Z,537,2,2,0,youtube#video,Dec,2021-12-22 20:09:01+00:00,Wednesday
7,Sheree Atcheson Keynote Speech | Intl. Women in STEM Virtual Conference,2021-12-22T19:58:19Z,250,1,1,0,youtube#video,Dec,2021-12-22 19:58:19+00:00,Wednesday
8,Building a More Inclusive Strategy to Close the STEM Gap | Intl. Women in STEM Virtual Conference,2021-12-22T19:29:58Z,430,9,9,0,youtube#video,Dec,2021-12-22 19:29:58+00:00,Wednesday
9,Clearing the Hurdles to Success in your STEM Career | Intl. Women in STEM Virtual Conference,2021-12-22T19:06:12Z,324,10,10,0,youtube#video,Dec,2021-12-22 19:06:12+00:00,Wednesday
10,Dr. Anne-Marie Imafidon Keynote Speech | Intl. Women In STEM Virtual Conference,2021-12-22T18:34:56Z,384,8,8,0,youtube#video,Dec,2021-12-22 18:34:56+00:00,Wednesday
11,Introducing Udacity's Site Reliability Engineer Nanodegree Program,2021-12-17T09:26:17Z,1777,39,39,0,youtube#video,Dec,2021-12-17 09:26:17+00:00,Friday
12,Fighting the Great Attrition with radical talent transformation | Udacity & Infosys,2021-12-15T16:44:33Z,1069,15,15,0,youtube#video,Dec,2021-12-15 16:44:33+00:00,Wednesday
13,Welcome to the Udacity Support Community,2021-12-03T20:19:03Z,925,23,23,0,youtube#video,Dec,2021-12-03 20:19:03+00:00,Friday
14,Introducing the AI Engineer using Microsoft Azure Nanodegree Program,2021-11-30T16:19:13Z,1577,42,42,1,youtube#video,Nov,2021-11-30 16:19:13+00:00,Tuesday
15,Introducing the new Privacy Engineer Nanodegree Program,2021-11-19T11:35:54Z,1581,39,39,1,youtube#video,Nov,2021-11-19 11:35:54+00:00,Friday
16,Rethinking Cybersecurity in Today's Digital Age,2021-11-18T09:49:36Z,844,12,12,0,youtube#video,Nov,2021-11-18 09:49:36+00:00,Thursday
17,Playbook for Adopting an Automation-First Mindset,2021-10-29T13:44:17Z,1872,23,23,0,youtube#video,Oct,2021-10-29 13:44:17+00:00,Friday
18,Meeting the Moment: Building an Equitable Future in STEM,2021-10-29T13:42:23Z,673,,,0,youtube#video,Oct,2021-10-29 13:42:23+00:00,Friday
19,Introducing the new AWS Machine Learning Engineer Nanodegree Program,2021-10-25T15:59:37Z,2609,51,51,0,youtube#video,Oct,2021-10-25 15:59:37+00:00,Monday
20,Introducing the Cloud Architect using Microsoft Azure Nanodegree Program,2021-10-20T17:26:39Z,1291,31,31,3,youtube#video,Oct,2021-10-20 17:26:39+00:00,Wednesday
21,Introducing Udacity's Growth Product Manager Nanodegree Program,2021-10-05T18:15:31Z,1560,28,28,0,youtube#video,Oct,2021-10-05 18:15:31+00:00,Tuesday
22,Introducing the Enterprise Security Nanodegree Program,2021-09-30T17:56:59Z,1881,43,43,0,youtube#video,Sep,2021-09-30 17:56:59+00:00,Thursday
23,Introducing the Digital Freelancing Nanodegree Program,2021-09-28T16:42:14Z,2713,97,97,3,youtube#video,Sep,2021-09-28 16:42:14+00:00,Tuesday
24,How to Build an Inclusive Culture in Tech | Women in STEM Virtual Conference,2021-09-24T22:54:19Z,793,18,18,0,youtube#video,Sep,2021-09-24 22:54:19+00:00,Friday
25,Clearing the Hurdles to Success in Your STEM Career | Women in STEM Virtual Conference,2021-09-24T22:53:05Z,691,9,9,0,youtube#video,Sep,2021-09-24 22:53:05+00:00,Friday
26,Ellen Pao Keynote Speech | Women in STEM Virtual Conference,2021-09-24T22:52:01Z,479,7,7,0,youtube#video,Sep,2021-09-24 22:52:01+00:00,Friday
27,Kimberly Bryant Keynote Speech | Women In STEM Virtual Conference,2021-09-24T16:56:10Z,891,7,7,0,youtube#video,Sep,2021-09-24 16:56:10+00:00,Friday
28,Udacity's Security Architect Nanodegree Program,2021-09-24T00:16:56Z,1391,35,35,0,youtube#video,Sep,2021-09-24 00:16:56+00:00,Friday
29,Women Who Future | Sonja Galkin,2021-09-23T19:37:46Z,533,5,5,2,youtube#video,Sep,2021-09-23 19:37:46+00:00,Thursday
30,Women Who Future | Shifat Nazmee,2021-09-23T19:36:41Z,379,4,4,0,youtube#video,Sep,2021-09-23 19:36:41+00:00,Thursday
31,Women Who Future | Nermine Ghazy,2021-09-23T19:35:52Z,702,19,19,3,youtube#video,Sep,2021-09-23 19:35:52+00:00,Thursday
32,Udacity & IDC on Telcom Industry,2021-09-08T09:18:59Z,2087,39,39,0,youtube#video,Sep,2021-09-08 09:18:59+00:00,Wednesday
33,Udacity & IDC on Professional Services Industry,2021-09-08T09:14:52Z,522,3,3,0,youtube#video,Sep,2021-09-08 09:14:52+00:00,Wednesday
34,Udacity & IDC on Financial Services Industry,2021-09-08T09:10:10Z,617,8,8,0,youtube#video,Sep,2021-09-08 09:10:10+00:00,Wednesday
35,How to Make a Python Program Wait,2021-09-01T06:35:58Z,7740,139,139,0,youtube#video,Sep,2021-09-01 06:35:58+00:00,Wednesday
36,"Student Story: Nikitha Gullapalli’s Journey of Self-Discovery—Baking, Gaming and Android Development",2021-08-27T11:21:53Z,3954,95,95,0,youtube#video,Aug,2021-08-27 11:21:53+00:00,Friday
37,Top Programming Languages to Learn Today,2021-08-25T06:20:38Z,10503,241,241,10,youtube#video,Aug,2021-08-25 06:20:38+00:00,Wednesday
38,Student Story: Gabriella Opens the Door for a Tech Career After High School with Udacity,2021-08-18T08:16:40Z,1160,30,30,0,youtube#video,Aug,2021-08-18 08:16:40+00:00,Wednesday
39,How To Write Your First Python Application,2021-08-16T20:27:40Z,2047,71,71,0,youtube#video,Aug,2021-08-16 20:27:40+00:00,Monday
40,Student Story - Soria’s Journey from Finance in Afghanistan to React Development in Germany,2021-07-29T22:01:01Z,1764,49,49,0,youtube#video,Jul,2021-07-29 22:01:01+00:00,Thursday
41,"Student Story: Benjamin Stanley, The Official Pied-Piper of Udacity",2021-07-29T22:00:58Z,471,16,16,0,youtube#video,Jul,2021-07-29 22:00:58+00:00,Thursday
42,Meet Some of Pledge to Equality Scholarship Grads,2021-07-19T14:57:51Z,802,26,26,0,youtube#video,Jul,2021-07-19 14:57:51+00:00,Monday
43,Introducing the new and improved Self-Driving Car Engineer Nanodegree Program!,2021-07-15T18:38:34Z,5269,133,133,0,youtube#video,Jul,2021-07-15 18:38:34+00:00,Thursday
44,Student Story: Arpita’s Journey From a Small Town in India to An Internship at Microsoft,2021-06-30T10:57:25Z,5287,273,273,30,youtube#video,Jun,2021-06-30 10:57:25+00:00,Wednesday
45,Introducing the Machine Learning DevOps Engineer Nanodegree program!,2021-06-29T20:08:26Z,4602,123,123,0,youtube#video,Jun,2021-06-29 20:08:26+00:00,Tuesday
46,Program Orientation - AWS Machine Learning Engineer Scholarship Program,2021-06-29T18:09:57Z,40339,1600,1600,0,youtube#video,Jun,2021-06-29 18:09:57+00:00,Tuesday
47,Popular Python AI libraries,2021-06-23T06:12:07Z,2951,110,110,0,youtube#video,Jun,2021-06-23 06:12:07+00:00,Wednesday
48,Kalyan Prasad: A Newspaper Vendor Turned Data Scientist and Cloud Enthusiast,2021-06-23T06:04:58Z,1581,48,48,3,youtube#video,Jun,2021-06-23 06:04:58+00:00,Wednesday
49,"After Losing His Job to COVID-19, Chiazam Ochiegbu Becomes a Data Analyst | Student Story",2021-06-15T12:20:26Z,1909,53,53,0,youtube#video,Jun,2021-06-15 12:20:26+00:00,Tuesday
50,Best C++ IDEs,2021-06-09T05:33:02Z,25460,261,261,0,youtube#video,Jun,2021-06-09 05:33:02+00:00,Wednesday
51,Mentor Summit 2021 - Highlights,2021-06-07T07:43:14Z,801,12,12,0,youtube#video,Jun,2021-06-07 07:43:14+00:00,Monday
52,Srijita Gosh: The Future is Digital Challenge Graduate,2021-06-04T01:28:01Z,950,18,18,0,youtube#video,Jun,2021-06-04 01:28:01+00:00,Friday
53,“I wanted to be a successful mother and a career woman” - Rehab Emam | Student Story,2021-06-01T05:48:54Z,969,44,44,0,youtube#video,Jun,2021-06-01 05:48:54+00:00,Tuesday
54,Pytorch vs. TensorFlow: What You Need to Know,2021-05-31T11:42:01Z,5421,112,112,0,youtube#video,May,2021-05-31 11:42:01+00:00,Monday
55,"Udacity Learning Lab: Udacity Grad and Ph.D. Candidate, Rubenia Borge",2021-05-20T03:01:01Z,1074,27,27,0,youtube#video,May,2021-05-20 03:01:01+00:00,Thursday
56,Udacity Learning Lab Podcast: Driving Diversity with the Blacks in Technology Foundation,2021-05-20T02:52:27Z,477,,,0,youtube#video,May,2021-05-20 02:52:27+00:00,Thursday
57,Typhaney Bennett: An Administrative Assistant Turns Over a New Leaf in Web Development,2021-05-10T23:25:34Z,874,26,26,0,youtube#video,May,2021-05-10 23:25:34+00:00,Monday
58,Udacity for Enterprise - Transform the workforce you have into the workforce you need,2021-05-07T09:03:59Z,1560,22,22,,youtube#video,May,2021-05-07 09:03:59+00:00,Friday
59,Introducing Udacity's Cloud Native Application Architecture Nanodegree Program!,2021-05-04T18:40:26Z,1616,35,35,7,youtube#video,May,2021-05-04 18:40:26+00:00,Tuesday
60,#AskUdacityAnything - How to Start a Career in Cybersecurity,2021-04-28T17:25:55Z,1007,24,24,0,youtube#video,Apr,2021-04-28 17:25:55+00:00,Wednesday
61,#AskUdacityAnything - Challenges Faced by Organizations While Implementing Cybersecurity,2021-04-28T17:22:28Z,436,9,9,0,youtube#video,Apr,2021-04-28 17:22:28+00:00,Wednesday
62,#AskUdacityAnything - How can people learn about cybersecurity?,2021-04-28T17:20:16Z,411,10,10,0,youtube#video,Apr,2021-04-28 17:20:16+00:00,Wednesday
63,Meet Udacity Mentor Edwin Ayi,2021-04-23T18:42:08Z,637,15,15,0,youtube#video,Apr,2021-04-23 18:42:08+00:00,Friday
64,Meet Udacity Mentor Dipika Chadha,2021-04-23T18:34:04Z,881,15,15,0,youtube#video,Apr,2021-04-23 18:34:04+00:00,Friday
65,Meet Udacity Mentor Ani B.,2021-04-23T18:18:51Z,896,19,19,0,youtube#video,Apr,2021-04-23 18:18:51+00:00,Friday
66,Meet Udacity Mentor Abdul Razak,2021-04-23T18:12:53Z,614,10,10,0,youtube#video,Apr,2021-04-23 18:12:53+00:00,Friday
67,The Autonomous Tech Dreams of the 14-year-old Sri Anumakonda,2021-04-22T23:38:44Z,1419,35,35,4,youtube#video,Apr,2021-04-22 23:38:44+00:00,Thursday
68,Udacity's Core Values,2021-04-22T16:16:29Z,982,15,15,0,youtube#video,Apr,2021-04-22 16:16:29+00:00,Thursday
69,#AskUdacityAnything - Skills Necessary for a Successful Cybersecurity Career,2021-04-22T16:06:21Z,431,10,10,0,youtube#video,Apr,2021-04-22 16:06:21+00:00,Thursday
70,#AskUdacityAnything with Dr. Christine Izuakor,2021-04-21T15:55:15Z,705,20,20,0,youtube#video,Apr,2021-04-21 15:55:15+00:00,Wednesday
71,Top Cybersecurity Jobs Decoded,2021-04-08T06:56:13Z,933,34,34,1,youtube#video,Apr,2021-04-08 06:56:13+00:00,Thursday
72,Introducing Udacity's newest Executive Program: Cloud Computing for Business Leaders,2021-04-06T15:50:32Z,960,24,24,3,youtube#video,Apr,2021-04-06 15:50:32+00:00,Tuesday
73,Udacity's Full Stack JavaScript Developer Nanodegree Program,2021-04-03T01:00:02Z,3427,82,82,0,youtube#video,Apr,2021-04-03 01:00:02+00:00,Saturday
74,Lean UX Explained,2021-04-01T14:52:00Z,4235,60,60,1,youtube#video,Apr,2021-04-01 14:52:00+00:00,Thursday
75,Udacity's Data Analysis and Visualization with Power BI Nanodegree Program,2021-03-25T19:28:01Z,1912,40,40,1,youtube#video,Mar,2021-03-25 19:28:01+00:00,Thursday
76,Introducing the Ethical Hacker Nanodegree Program!,2021-03-24T00:10:52Z,1861,50,50,0,youtube#video,Mar,2021-03-24 00:10:52+00:00,Wednesday
77,‘I Keep Coming Back to Udacity So I Can Give Back’: Ryan Waite | Student Success,2021-03-23T10:39:04Z,847,23,23,0,youtube#video,Mar,2021-03-23 10:39:04+00:00,Tuesday
78,Ramona Saintandre | Student Stories,2021-03-23T02:13:13Z,856,23,23,0,youtube#video,Mar,2021-03-23 02:13:13+00:00,Tuesday
79,Watch how Jasmine Lawrence Landed Her Dream Job | Student Success,2021-03-23T02:13:08Z,476,6,6,0,youtube#video,Mar,2021-03-23 02:13:08+00:00,Tuesday
80,Coding Careers Decoded: Front-End vs. Back-End vs. Fullstack,2021-03-15T18:27:44Z,15114,105,105,2,youtube#video,Mar,2021-03-15 18:27:44+00:00,Monday
81,What is SQL?,2021-02-26T13:05:53Z,1486,37,37,2,youtube#video,Feb,2021-02-26 13:05:53+00:00,Friday
82,Understanding the Application Tracking System,2021-02-24T21:27:21Z,3741,76,76,0,youtube#video,Feb,2021-02-24 21:27:21+00:00,Wednesday
83,Informational Interviews: Planting your Seed,2021-02-21T07:43:40Z,799,12,12,0,youtube#video,Feb,2021-02-21 07:43:40+00:00,Sunday
84,Finding CSS Selectors - A Walkthrough,2021-02-16T15:27:35Z,653,8,8,0,youtube#video,Feb,2021-02-16 15:27:35+00:00,Tuesday
85,Career Planning with Intention,2021-02-12T02:06:12Z,1040,19,19,0,youtube#video,Feb,2021-02-12 02:06:12+00:00,Friday
86,HTML Templates With Thymeleaf - A Walkthrough,2021-02-09T15:42:34Z,4032,9,9,0,youtube#video,Feb,2021-02-09 15:42:34+00:00,Tuesday
87,HTML Templates With Thymeleaf,2021-02-09T15:40:43Z,2934,18,18,0,youtube#video,Feb,2021-02-09 15:40:43+00:00,Tuesday
88,HTML Templates With Thymeleaf,2021-02-09T15:38:42Z,3315,5,5,1,youtube#video,Feb,2021-02-09 15:38:42+00:00,Tuesday
89,HTML Templates with Thymeleaf,2021-02-09T15:37:32Z,3219,13,13,0,youtube#video,Feb,2021-02-09 15:37:32+00:00,Tuesday
90,Udacity Student Story | Amaury Gonzalez,2021-02-03T10:51:50Z,1030,28,28,0,youtube#video,Feb,2021-02-03 10:51:50+00:00,Wednesday
91,Udacity Digital Marketing Nanodegree Program,2021-02-02T23:22:22Z,4285,55,55,0,youtube#video,Feb,2021-02-02 23:22:22+00:00,Tuesday
92,Introducing the Security Engineer Nanodegree program!,2021-02-02T20:57:49Z,884,17,17,1,youtube#video,Feb,2021-02-02 20:57:49+00:00,Tuesday
93,Introduction to Interactive Javascript,2021-02-02T15:55:24Z,473,13,13,1,youtube#video,Feb,2021-02-02 15:55:24+00:00,Tuesday
94,Running Javascript,2021-02-02T13:05:50Z,661,21,21,0,youtube#video,Feb,2021-02-02 13:05:50+00:00,Tuesday
95,Introducing the Cloud DevOps using Microsoft Azure Nanodegree program!,2021-01-28T21:31:46Z,981,24,24,0,youtube#video,Jan,2021-01-28 21:31:46+00:00,Thursday
96,Introducing the Cloud Developer using Microsoft Azure Nanodegree Program!,2021-01-28T21:27:02Z,547,11,11,0,youtube#video,Jan,2021-01-28 21:27:02+00:00,Thursday
97,Introducing Udacity's Security Analyst Nanodegree Program!,2021-01-28T17:56:00Z,874,24,24,1,youtube#video,Jan,2021-01-28 17:56:00+00:00,Thursday
98,"Security Review & Audit - Design, Architecture And Code Review",2021-01-25T11:14:15Z,1416,15,15,0,youtube#video,Jan,2021-01-25 11:14:15+00:00,Monday
99,Code Demo - How It Works?,2021-01-25T11:10:58Z,2051,6,6,0,youtube#video,Jan,2021-01-25 11:10:58+00:00,Monday
100,How to Upgrade Your Code in Java Programming,2021-01-25T11:06:10Z,442,5,5,0,youtube#video,Jan,2021-01-25 11:06:10+00:00,Monday
101,Solution Code Coverage for Java Programming,2021-01-25T11:03:12Z,796,6,6,0,youtube#video,Jan,2021-01-25 11:03:12+00:00,Monday
102,Solution Code Coverage for Java Programming,2021-01-25T10:55:06Z,185,0,0,0,youtube#video,Jan,2021-01-25 10:55:06+00:00,Monday
103,Starter Code Walkthrough for Autonomous Vehicles - Part 3,2021-01-25T10:53:45Z,714,0,0,0,youtube#video,Jan,2021-01-25 10:53:45+00:00,Monday
104,Starter Code Walkthrough for Autonomous Vehicles - Part 2,2021-01-25T10:52:36Z,851,5,5,0,youtube#video,Jan,2021-01-25 10:52:36+00:00,Monday
105,Starter Code Walkthrough for Autonomous Vehicles - Part 1,2021-01-25T10:51:11Z,1844,21,21,0,youtube#video,Jan,2021-01-25 10:51:11+00:00,Monday
106,How to Upgrade Your Code in Java Programming,2021-01-25T10:46:53Z,620,12,12,0,youtube#video,Jan,2021-01-25 10:46:53+00:00,Monday
107,Solution Code Coverage for Java Programming,2021-01-25T10:43:37Z,447,8,8,0,youtube#video,Jan,2021-01-25 10:43:37+00:00,Monday
108,Kafka with Python,2021-01-20T16:39:17Z,11848,129,129,3,youtube#video,Jan,2021-01-20 16:39:17+00:00,Wednesday
109,Python Training Atom,2021-01-20T16:27:28Z,1005,3,3,0,youtube#video,Jan,2021-01-20 16:27:28+00:00,Wednesday
110,Why Learn Python?,2021-01-20T15:55:11Z,890,27,27,2,youtube#video,Jan,2021-01-20 15:55:11+00:00,Wednesday
111,What Makes Python Special?,2021-01-20T15:52:21Z,2192,20,20,0,youtube#video,Jan,2021-01-20 15:52:21+00:00,Wednesday
112,Why Learn Python?,2021-01-20T15:47:43Z,2172,22,22,3,youtube#video,Jan,2021-01-20 15:47:43+00:00,Wednesday
113,Interrogating Python Data - Python Objects,2021-01-20T15:43:19Z,2076,26,26,2,youtube#video,Jan,2021-01-20 15:43:19+00:00,Wednesday
114,Interrogating Python Data - Python Variables,2021-01-20T15:40:25Z,2052,19,19,1,youtube#video,Jan,2021-01-20 15:40:25+00:00,Wednesday
115,Introducing Udacity's Java Programming Nanodegree Program!,2021-01-19T20:56:07Z,1766,44,44,0,youtube#video,Jan,2021-01-19 20:56:07+00:00,Tuesday
116,#AskUdacityAnything,2021-01-14T06:14:42Z,476,6,6,0,youtube#video,Jan,2021-01-14 06:14:42+00:00,Thursday
117,#AskUdacityAnything - How to Get Started with Self-Driving Cars?,2021-01-14T06:06:56Z,524,5,5,0,youtube#video,Jan,2021-01-14 06:06:56+00:00,Thursday
118,#AskUdacityAnything - How will project management change in the digital world?,2021-01-14T05:58:52Z,210,4,4,0,youtube#video,Jan,2021-01-14 05:58:52+00:00,Thursday
119,#AskUdacityAnything - How did David Silver Become Interested in Self-Driving Cars?,2021-01-14T05:50:25Z,269,2,2,0,youtube#video,Jan,2021-01-14 05:50:25+00:00,Thursday
120,#AskUdacityAnything - How to Design an Automated Damper?,2021-01-14T05:36:18Z,216,1,1,0,youtube#video,Jan,2021-01-14 05:36:18+00:00,Thursday
121,Recap - Intro To Functional Programming,2021-01-13T15:31:18Z,1503,19,19,0,youtube#video,Jan,2021-01-13 15:31:18+00:00,Wednesday
122,Intro to Functional Programming JavaScript,2021-01-13T15:30:04Z,1613,13,13,3,youtube#video,Jan,2021-01-13 15:30:04+00:00,Wednesday
123,Top 8 Skills You Need to be a Data Scientist,2021-01-06T18:21:41Z,2240,104,104,0,youtube#video,Jan,2021-01-06 18:21:41+00:00,Wednesday
124,From Lawyers to IT Professionals Creating a ‘New Normal’ in the Healthcare Sector,2021-01-06T13:50:14Z,738,21,21,2,youtube#video,Jan,2021-01-06 13:50:14+00:00,Wednesday
125,What You Need to Know to Land a Job in 2021,2021-01-05T18:11:42Z,1513,59,59,0,youtube#video,Jan,2021-01-05 18:11:42+00:00,Tuesday
126,#AskUdacityAnything,2020-12-29T18:02:51Z,638,8,8,2,youtube#video,Dec,2020-12-29 18:02:51+00:00,Tuesday
127,Udacity’s Intermediate Python Nanodegree Program,2020-12-23T22:04:39Z,4828,89,89,0,youtube#video,Dec,2020-12-23 22:04:39+00:00,Wednesday
128,"Victorious Negotiating: Win first, then go to War",2020-12-22T23:20:17Z,1034,25,25,0,youtube#video,Dec,2020-12-22 23:20:17+00:00,Tuesday
129,#AskUdacityAnything - Robotics & Automation approaches in a post-covid world!,2020-12-22T12:49:41Z,915,19,19,0,youtube#video,Dec,2020-12-22 12:49:41+00:00,Tuesday
130,Introducing Udacity's Data Architect Nanodegree Program,2020-12-17T16:11:33Z,2244,34,34,9,youtube#video,Dec,2020-12-17 16:11:33+00:00,Thursday
131,Product Design Overview,2020-12-17T15:39:33Z,475,8,8,0,youtube#video,Dec,2020-12-17 15:39:33+00:00,Thursday
132,What You Need to Know to Become a Machine Learning Engineer,2020-12-17T15:15:10Z,1201,31,31,0,youtube#video,Dec,2020-12-17 15:15:10+00:00,Thursday
133,Ask Me Anything:  David Silver on Damper Replacement,2020-12-17T15:09:09Z,115,2,2,0,youtube#video,Dec,2020-12-17 15:09:09+00:00,Thursday
134,Ask Me Anything: David Silver on Self-driving Car,2020-12-17T15:08:21Z,119,3,3,0,youtube#video,Dec,2020-12-17 15:08:21+00:00,Thursday
135,Ask Me Anything:  David Silver on Machine Learning in Product Management,2020-12-17T15:07:20Z,141,2,2,0,youtube#video,Dec,2020-12-17 15:07:20+00:00,Thursday
136,Ask Me Anything:  David Silver on his Self-driving Car Skills,2020-12-17T15:06:05Z,113,1,1,0,youtube#video,Dec,2020-12-17 15:06:05+00:00,Thursday
137,Ask Me Anything:  David Silver on Self-driving Car Unsolved Problems,2020-12-17T15:04:29Z,218,2,2,0,youtube#video,Dec,2020-12-17 15:04:29+00:00,Thursday
138,Ask Me Anything:  David Silver on Automation in a Post-Covid World,2020-12-17T15:02:53Z,115,1,1,0,youtube#video,Dec,2020-12-17 15:02:53+00:00,Thursday
139,Becoming a Full Stack Web Developer,2020-12-17T14:58:23Z,2007,40,40,0,youtube#video,Dec,2020-12-17 14:58:23+00:00,Thursday
